"","parameter","date","stream","priorMean","priorSD","postL95","postMedian","postU95","julian"
"2042","Pmax",2015-08-06,"st9",0.084111403,0.021027851,0.049805923,0.084168729,0.122519933,218
"2043","Pmax",2015-08-07,"st9",0.086956491,0.021739123,0.052658072,0.089397495,0.127852677,219
"2044","Pmax",2015-08-08,"st9",0.082261148,0.020565287,0.046151153,0.080858304,0.121442178,220
"2045","Pmax",2015-08-09,"st9",0.094289661,0.023572415,0.050719189,0.094232205,0.137727527,221
"2046","Pmax",2016-07-01,"st9",0.060673839,0.01516846,0.031366917,0.059530705,0.088128582,183
"2047","Pmax",2016-07-02,"st9",0.06911672,0.01727918,0.038690207,0.070031906,0.102781836,184
"2048","Pmax",2016-07-03,"st9",0.063792895,0.015948224,0.031724836,0.064728869,0.093830814,185
"2049","Pmax",2016-07-04,"st9",0.078306591,0.019576648,0.043474917,0.078397438,0.114925574,186
"2050","Pmax",2016-07-05,"st9",0.079681357,0.019920339,0.042966119,0.079552388,0.116207851,187
"2051","Pmax",2016-07-06,"st9",0.077227369,0.019306842,0.044656311,0.077606264,0.110398475,188
"2052","Pmax",2016-07-07,"st9",0.082793193,0.020698298,0.049272819,0.084792519,0.125067536,189
"2053","Pmax",2016-07-08,"st9",0.088883497,0.022220874,0.048736068,0.087567884,0.128789385,190
"2054","Pmax",2016-07-09,"st9",0.08833616,0.02208404,0.051868389,0.089251052,0.130254221,191
"2055","Pmax",2016-07-10,"st9",0.092348674,0.023087169,0.050764639,0.093622834,0.143449285,192
"2056","Pmax",2016-07-11,"st9",0.086733432,0.021683358,0.047601461,0.086077695,0.125694032,193
"2057","Pmax",2016-07-12,"st9",0.099497308,0.024874327,0.056058296,0.098876375,0.142597633,194
"2058","Pmax",2016-07-13,"st9",0.091198107,0.022799527,0.045173429,0.090085478,0.128627442,195
"2059","Pmax",2016-07-14,"st9",0.089711054,0.022427764,0.049618566,0.088770365,0.130577075,196
"2060","Pmax",2016-07-15,"st9",0.078526354,0.019631588,0.04154298,0.078392946,0.116665131,197
"2061","Pmax",2016-07-16,"st9",0.103345643,0.025836411,0.059571739,0.103899739,0.150158743,198
"2062","Pmax",2016-07-17,"st9",0.092958144,0.023239536,0.051354039,0.092150326,0.133678176,199
"2063","Pmax",2016-07-18,"st9",0.073349935,0.018337484,0.042621145,0.072910072,0.10650404,200
"2064","Pmax",2016-07-19,"st9",0.084574576,0.021143644,0.046659492,0.082671603,0.119362358,201
"2065","Pmax",2016-07-20,"st9",0.072054055,0.018013514,0.044237419,0.073219035,0.104442079,202
"2066","Pmax",2016-07-21,"st9",0.093979483,0.023494871,0.054620502,0.095927462,0.138845305,203
"2067","Pmax",2016-07-22,"st9",0.081368792,0.020342198,0.046393843,0.081009189,0.121983152,204
"2068","Pmax",2016-07-23,"st9",0.086823876,0.021705969,0.047133995,0.087926433,0.127101437,205
"2069","Pmax",2016-07-24,"st9",0.063849667,0.015962417,0.037268008,0.064250792,0.090628218,206
"2070","Pmax",2016-07-25,"st9",0.064428943,0.016107236,0.034214472,0.0646984,0.095551233,207
"2071","Pmax",2016-07-26,"st9",0.078621412,0.019655353,0.049169902,0.079364818,0.110964777,208
"2072","Pmax",2016-07-27,"st9",0.10255827,0.025639568,0.061361483,0.102235452,0.145401752,209
"2073","Pmax",2016-07-28,"st9",0.098515473,0.024628868,0.0649742,0.098550781,0.137621736,210
"2074","Pmax",2016-07-29,"st9",0.110472103,0.027618026,0.072565142,0.11274255,0.153457605,211
"2075","Pmax",2016-07-30,"st9",0.096912222,0.024228056,0.059310646,0.097144509,0.135549334,212
"2076","Pmax",2016-07-31,"st9",0.107021668,0.026755417,0.069955833,0.1090845,0.150985752,213
"2077","Pmax",2016-08-01,"st9",0.17699671,0.044249177,0.117357593,0.180965281,0.252208754,214
"2078","Pmax",2016-08-02,"st9",0.175791212,0.043947803,0.117535341,0.178785575,0.24966637,215
"2079","Pmax",2016-08-03,"st9",0.107339056,0.026834764,0.063758282,0.105232641,0.155076329,216
"2080","Pmax",2016-08-04,"st9",0.116966918,0.029241729,0.068926698,0.115359917,0.168530397,217
"2081","Pmax",2016-08-05,"st9",0.103168992,0.025792248,0.055889689,0.102727538,0.150893629,218
"2082","Pmax",2016-08-06,"st9",0.109170459,0.027292615,0.068496973,0.109851762,0.151688817,219
"2083","Pmax",2016-08-07,"st9",0.122812182,0.030703046,0.074165576,0.123124742,0.172045543,220
"2084","Pmax",2016-08-08,"st9",0.144690351,0.036172588,0.08667351,0.142724995,0.206593141,221
"2085","Pmax",2016-08-09,"st9",0.13135087,0.032837718,0.080804164,0.134050858,0.193374947,222
"2086","Pmax",2016-08-10,"st9",0.130118505,0.032529626,0.070777119,0.127628458,0.187852314,223
"2087","Pmax",2016-08-11,"st9",0.064201505,0.016050376,0.032944158,0.064181863,0.096358128,224
"2088","Pmax",2017-07-02,"st9",0.094585729,0.023646432,0.056137395,0.095583859,0.13549763,183
"2089","Pmax",2017-07-03,"st9",0.074083644,0.018520911,0.042522711,0.073877855,0.105760799,184
"2090","Pmax",2017-07-04,"st9",0.189721842,0.047430461,0.116791498,0.191603052,0.278363706,185
"2091","Pmax",2017-07-05,"st9",0.074581963,0.018645491,0.043292793,0.074376312,0.106631467,186
"2092","Pmax",2017-07-06,"st9",0.078923918,0.01973098,0.04286156,0.077318815,0.114856851,187
"2093","Pmax",2017-07-07,"st9",0.12915431,0.032288577,0.074731747,0.12719607,0.184730714,188
"2094","Pmax",2017-07-08,"st9",0.068638484,0.017159621,0.040919324,0.06902942,0.098607236,189
"2095","Pmax",2017-07-11,"st9",0.078590982,0.019647746,0.046252668,0.077578559,0.108720686,192
"2096","Pmax",2017-07-12,"st9",0.060540397,0.015135099,0.033919111,0.061912056,0.093737519,193
"2097","Pmax",2017-07-13,"st9",0.08284915,0.020712288,0.049082732,0.081739668,0.118471064,194
"2098","Pmax",2017-07-15,"st9",0.024897483,0.006224371,0.01268088,0.025252099,0.037297894,196
"2099","Pmax",2017-07-16,"st9",0.034713308,0.008678327,0.018503597,0.035005066,0.051575958,197
"2100","Pmax",2017-07-17,"st9",0.047002566,0.011750642,0.023198545,0.043838111,0.064948038,198
"2101","Pmax",2017-07-19,"st9",0.016384437,0.004096109,0.008803767,0.016253618,0.023139095,200
"2102","Pmax",2017-07-20,"st9",0.024289631,0.006072408,0.012695497,0.024670325,0.037488887,201
"2103","Pmax",2017-07-21,"st9",0.034603288,0.008650822,0.019724151,0.035424633,0.053013555,202
"2104","Pmax",2017-07-22,"st9",0.031460986,0.007865247,0.016346622,0.030313407,0.045427101,203
"2105","Pmax",2017-07-23,"st9",0.053765053,0.013441263,0.028960399,0.053001364,0.078529381,204
"2106","Pmax",2017-07-24,"st9",0.038089681,0.00952242,0.017985747,0.037750295,0.057124381,205
"2107","Pmax",2017-07-25,"st9",0.065411569,0.016352892,0.032463135,0.063618692,0.094045949,206
"2108","Pmax",2017-07-26,"st9",0.044058689,0.011014672,0.02287453,0.044529209,0.064140406,207
"2109","Pmax",2017-07-27,"st9",0.066632215,0.016658054,0.038660679,0.066028387,0.092666782,208
"2110","Pmax",2017-07-28,"st9",0.077485683,0.019371421,0.043173875,0.07451658,0.106819321,209
"2111","Pmax",2017-07-29,"st9",0.10686807,0.026717017,0.070665019,0.113438166,0.160567463,210
"2112","Pmax",2017-07-30,"st9",0.096575667,0.024143917,0.043792765,0.094079295,0.140602079,211
"2113","Pmax",2017-07-31,"st9",0.094116187,0.023529047,0.052631438,0.091700518,0.129033627,212
"2114","Pmax",2017-08-01,"st9",0.114776608,0.028694152,0.070037408,0.111732755,0.161180061,213
"2115","Pmax",2017-08-02,"st9",0.094186293,0.023546573,0.055021022,0.093756039,0.134169034,214
"2116","Pmax",2017-08-03,"st9",0.116757137,0.029189284,0.076470219,0.115903901,0.162902506,215
"2117","Pmax",2017-08-04,"st9",0.101180105,0.025295026,0.057550315,0.099329782,0.144709264,216
"2118","Pmax",2017-08-05,"st9",0.129468926,0.032367231,0.076720193,0.128025356,0.184966373,217
"2119","Pmax",2017-08-06,"st9",0.108221797,0.027055449,0.063268447,0.107375166,0.152362516,218
"2120","Pmax",2017-08-07,"st9",0.078783623,0.019695906,0.044647452,0.073582258,0.103805152,219
"2121","Pmax",2017-08-08,"st9",0.079803757,0.019950939,0.046670641,0.080021502,0.116888546,220
"2122","Pmax",2017-08-09,"st9",0.109856392,0.027464098,0.073584747,0.117320542,0.162601831,221
"2123","Pmax",2015-07-02,"st6",0.088320815,0.022080204,0.053632294,0.090148545,0.131947129,183
"2124","Pmax",2015-07-03,"st6",0.106374241,0.02659356,0.063104265,0.106510387,0.150802106,184
"2125","Pmax",2015-07-04,"st6",0.108519454,0.027129863,0.065168196,0.107406555,0.158714802,185
"2126","Pmax",2015-07-05,"st6",0.104998771,0.026249693,0.056629978,0.104858401,0.152453565,186
"2127","Pmax",2015-07-06,"st6",0.12208417,0.030521042,0.069903667,0.120095332,0.172741675,187
"2128","Pmax",2015-07-07,"st6",0.115498318,0.02887458,0.068004098,0.115724127,0.168771012,188
"2129","Pmax",2015-07-08,"st6",0.128236906,0.032059227,0.06894788,0.126576241,0.183122951,189
"2130","Pmax",2015-07-09,"st6",0.111004704,0.027751176,0.062274764,0.108626101,0.153730231,190
"2131","Pmax",2015-07-10,"st6",0.115431408,0.028857852,0.067540277,0.116353515,0.16453022,191
"2132","Pmax",2015-07-11,"st6",0.126134297,0.031533574,0.072766219,0.12536035,0.182642208,192
"2133","Pmax",2015-07-12,"st6",0.129402585,0.032350646,0.082336513,0.130839814,0.188178063,193
"2134","Pmax",2015-07-13,"st6",0.106241587,0.026560397,0.060965221,0.10651166,0.161119177,194
"2135","Pmax",2015-07-14,"st6",0.117367991,0.029341998,0.064426437,0.118139446,0.16687591,195
"2136","Pmax",2015-07-15,"st6",0.139104035,0.034776009,0.088514408,0.143621278,0.201093306,196
"2137","Pmax",2015-07-16,"st6",0.147331703,0.036832926,0.091038734,0.148598589,0.214291991,197
"2138","Pmax",2015-07-17,"st6",0.140654772,0.035163693,0.086656239,0.141724669,0.204859925,198
"2139","Pmax",2015-07-18,"st6",0.148522,0.0371305,0.096035491,0.152079638,0.222597757,199
"2140","Pmax",2015-07-19,"st6",0.157022288,0.039255572,0.09245527,0.154915622,0.225165184,200
"2141","Pmax",2015-07-20,"st6",0.136533905,0.034133476,0.091027502,0.139323422,0.196036434,201
"2142","Pmax",2015-07-21,"st6",0.14569369,0.036423422,0.09164784,0.150887569,0.213042281,202
"2143","Pmax",2015-07-22,"st6",0.163368786,0.040842197,0.100239409,0.165662001,0.23831559,203
"2144","Pmax",2015-07-23,"st6",0.141649324,0.035412331,0.088532766,0.140594862,0.193672749,204
"2145","Pmax",2015-07-24,"st6",0.110077482,0.02751937,0.066928785,0.112248072,0.161109981,205
"2146","Pmax",2015-07-25,"st6",0.136179866,0.034044967,0.081834555,0.136012944,0.196925944,206
"2147","Pmax",2015-07-26,"st6",0.164330638,0.04108266,0.101383718,0.168267921,0.245538936,207
"2148","Pmax",2015-07-27,"st6",0.147098785,0.036774696,0.086742704,0.146367696,0.210424241,208
"2149","Pmax",2015-07-28,"st6",0.165867984,0.041466996,0.099860387,0.165891709,0.234823649,209
"2150","Pmax",2015-07-29,"st6",0.164346867,0.041086717,0.102012046,0.16023589,0.224854557,210
"2151","Pmax",2015-07-30,"st6",0.149966678,0.037491669,0.093519139,0.150300233,0.211911807,211
"2152","Pmax",2015-07-31,"st6",0.154039547,0.038509887,0.102450405,0.155351558,0.214999474,212
"2153","Pmax",2015-08-01,"st6",0.147464884,0.036866221,0.09425339,0.148941747,0.20824231,213
"2154","Pmax",2015-08-02,"st6",0.120102469,0.030025617,0.072556282,0.116187297,0.168445733,214
"2155","Pmax",2015-08-03,"st6",0.075562721,0.01889068,0.043965572,0.073135275,0.103189019,215
"2156","Pmax",2015-08-04,"st6",0.194497855,0.048624464,0.117334299,0.19606372,0.280203428,216
"2157","Pmax",2015-08-05,"st6",0.122374184,0.030593546,0.080302423,0.12310384,0.171807575,217
"2158","Pmax",2015-08-06,"st6",0.110270849,0.027567712,0.074581122,0.113778251,0.155543443,218
"2159","Pmax",2015-08-07,"st6",0.130882363,0.032720591,0.085240524,0.130597467,0.183204033,219
"2160","Pmax",2015-08-08,"st6",0.111570666,0.027892666,0.063901563,0.111277181,0.160720087,220
"2161","Pmax",2015-08-09,"st6",0.117034096,0.029258524,0.072186991,0.115664808,0.16490049,221
"2162","Pmax",2016-07-01,"st6",0.09721703,0.024304258,0.052167488,0.095411696,0.139875899,183
"2163","Pmax",2016-07-02,"st6",0.088943869,0.022235967,0.050432585,0.089920493,0.12960143,184
"2164","Pmax",2016-07-03,"st6",0.109605952,0.027401488,0.062385209,0.109058721,0.161020658,185
"2165","Pmax",2016-07-04,"st6",0.12181863,0.030454657,0.068274243,0.121544157,0.176497991,186
"2166","Pmax",2016-07-05,"st6",0.108925466,0.027231367,0.062172623,0.107091749,0.155664034,187
"2167","Pmax",2016-07-06,"st6",0.120128587,0.030032147,0.069354694,0.117722087,0.17213701,188
"2168","Pmax",2016-07-07,"st6",0.115618145,0.028904536,0.071646372,0.116370946,0.167269154,189
"2169","Pmax",2016-07-08,"st6",0.124532484,0.031133121,0.071476828,0.124713654,0.178299711,190
"2170","Pmax",2016-07-09,"st6",0.126028427,0.031507107,0.074422004,0.125167065,0.17538371,191
"2171","Pmax",2016-07-10,"st6",0.13762971,0.034407428,0.07703499,0.137074703,0.196250197,192
"2172","Pmax",2016-07-11,"st6",0.139537973,0.034884493,0.080127535,0.139466982,0.199819979,193
"2173","Pmax",2016-07-12,"st6",0.149392907,0.037348227,0.080435659,0.143034139,0.207162508,194
"2174","Pmax",2016-07-13,"st6",0.141921395,0.035480349,0.087850891,0.142937442,0.199443272,195
"2175","Pmax",2016-07-14,"st6",0.14151537,0.035378842,0.077219596,0.138433577,0.204964884,196
"2176","Pmax",2016-07-15,"st6",0.139615512,0.034903878,0.080555925,0.13955024,0.20605284,197
"2177","Pmax",2016-07-16,"st6",0.170530879,0.04263272,0.111181114,0.171580286,0.243937614,198
"2178","Pmax",2016-07-17,"st6",0.154488773,0.038622193,0.093124761,0.155637152,0.220373392,199
"2179","Pmax",2016-07-18,"st6",0.179238673,0.044809668,0.110849447,0.175779428,0.243052633,200
"2180","Pmax",2016-07-19,"st6",0.173954449,0.043488612,0.103533114,0.173009357,0.251509394,201
"2181","Pmax",2016-07-20,"st6",0.204104924,0.051026231,0.130159085,0.205670151,0.287688281,202
"2182","Pmax",2016-07-21,"st6",0.164101537,0.041025384,0.099336574,0.16284174,0.228601079,203
"2183","Pmax",2016-07-22,"st6",0.085674266,0.021418566,0.049564664,0.08507562,0.122408459,204
"2184","Pmax",2016-07-23,"st6",0.112354935,0.028088734,0.068506942,0.113845645,0.166591865,205
"2185","Pmax",2016-07-24,"st6",0.109665706,0.027416427,0.066804247,0.110827754,0.1610831,206
"2186","Pmax",2016-07-25,"st6",0.082312336,0.020578084,0.044063232,0.082439034,0.120838919,207
"2187","Pmax",2016-07-26,"st6",0.083833864,0.020958466,0.055659804,0.083926113,0.115386739,208
"2188","Pmax",2016-07-27,"st6",0.082605345,0.020651336,0.051286874,0.081920849,0.11424273,209
"2189","Pmax",2016-07-28,"st6",0.109163368,0.027290842,0.073193727,0.111536878,0.152634725,210
"2190","Pmax",2016-07-29,"st6",0.106213154,0.026553289,0.068605586,0.10398027,0.142100676,211
"2191","Pmax",2016-07-30,"st6",0.09929981,0.024824953,0.061242141,0.096892837,0.135163712,212
"2192","Pmax",2016-07-31,"st6",0.112629985,0.028157496,0.068892071,0.110146068,0.15592877,213
"2193","Pmax",2016-08-01,"st6",0.135027114,0.033756778,0.082600613,0.134028555,0.189861663,214
"2194","Pmax",2016-08-02,"st6",0.123595198,0.0308988,0.078973403,0.123174559,0.168556014,215
"2195","Pmax",2016-08-03,"st6",0.111941525,0.027985381,0.075473285,0.112206267,0.154101547,216
"2196","Pmax",2016-08-04,"st6",0.12683217,0.031708043,0.07609788,0.127311005,0.179160291,217
"2197","Pmax",2016-08-05,"st6",0.111986269,0.027996567,0.06784871,0.110039532,0.158460676,218
"2198","Pmax",2016-08-06,"st6",0.12527216,0.03131804,0.083156104,0.12614486,0.170810184,219
